variant,attack,intensity,mean,q05,auc,eer,semantic_ratio,coordinate_ratio,tar_at_far5,tar_at_far1
Separation,surface_delete,0.1,0.9100799560546875,0.853271484375,0.9973493303571429,0.019469246031746032,0.913213684290898,0.9235543232796427,0.984375,0.96875
Separation,surface_delete,0.2,0.858917236328125,0.7642578125,0.9844951326884921,0.047991071428571425,0.820156847567799,0.843683421799713,0.859375,0.78125
Separation,surface_delete,0.4,0.7997589111328125,0.64326171875,0.9545510912698413,0.10627480158730158,0.6394001175014663,0.7053756212499798,0.59375,0.515625
Separation,surface_delete,0.6,0.7354888916015625,0.602978515625,0.8991117931547619,0.17447916666666669,0.4649232145596585,0.5630364854380938,0.21875,0.15625
Separation,surface_delete,0.8,0.6465606689453125,0.531982421875,0.7269849020337301,0.3250248015873016,0.28416648449332577,0.40911048200871836,0.015625,0.0
Separation,attribute_delete,0.1,0.997589111328125,0.994140625,1.0,0.0,1.0,1.0,1.0,1.0
Separation,attribute_delete,0.2,0.9946136474609375,0.989404296875,1.0,0.0,1.0,1.0,1.0,1.0
Separation,attribute_delete,0.4,0.988555908203125,0.979638671875,1.0,0.0,1.0,1.0,1.0,1.0
Separation,attribute_delete,0.6,0.97998046875,0.9641601562500001,1.0,0.0,1.0,1.0,1.0,1.0
Separation,attribute_delete,0.8,0.9660797119140625,0.936572265625,1.0,0.0,1.0,1.0,1.0,1.0
Separation,quantization,0.001,0.9472198486328125,0.908349609375,0.9999922495039683,0.000496031746031746,1.0,1.0,1.0,1.0
Separation,quantization,0.005,0.94146728515625,0.894140625,1.0,0.0,1.0,1.0,1.0,1.0
Separation,quantization,0.01,0.9298095703125,0.87587890625,0.9998682415674603,0.001488095238095238,1.0,1.0,1.0,1.0
Separation,quantization,0.02,0.9160919189453125,0.8515625,0.9993954613095238,0.014260912698412698,1.0,1.0,1.0,1.0
Separation,quantization,0.05,0.886505126953125,0.79130859375,0.9956170944940477,0.023685515873015872,1.0,1.0,0.921875,0.90625
Separation,rotation_z,30.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Separation,rotation_z,60.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Separation,rotation_z,90.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Separation,rotation_z,120.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Separation,rotation_z,180.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Separation,coordinate_noise,0.0001,0.9612884521484375,0.928466796875,1.0,0.0,1.0,1.0,1.0,1.0
Separation,coordinate_noise,0.0005,0.9571990966796875,0.919287109375,1.0,0.0,1.0,1.0,1.0,1.0
Separation,coordinate_noise,0.001,0.952178955078125,0.912255859375,0.9999806237599206,0.000744047619047619,1.0,1.0,1.0,1.0
Separation,coordinate_noise,0.002,0.9440460205078125,0.893310546875,0.9999612475198413,0.000744047619047619,1.0,1.0,1.0,1.0
Separation,coordinate_noise,0.005,0.9146575927734375,0.8271484375,0.998229011656746,0.017485119047619048,1.0,1.0,0.984375,0.953125
Separation,sequential,0.1,0.87896728515625,0.79345703125,0.9899747333829365,0.046999007936507936,0.8595719370440625,0.8735579788049099,0.9375,0.9375
Separation,sequential,0.2,0.8250274658203125,0.705029296875,0.962615482390873,0.08172123015873016,0.6770900790036187,0.7096686429225971,0.703125,0.609375
Separation,sequential,0.4,0.727508544921875,0.47436523437500006,0.8423897879464286,0.20324900793650794,0.42604288607190294,0.4688520327609714,0.265625,0.171875
Separation,sequential,0.6,0.6494293212890625,0.46962890625,0.6962309337797619,0.34672619047619047,0.21145181873709806,0.26267904171267153,0.046875,0.03125
Separation,lod2_to_lod1,1.0,0.5204315185546875,0.41240234375,0.31130254836309523,0.6412450396825398,0.10432333206112482,0.3528480015553056,0.0,0.0
Separation,hierarchy_flatten,0.2,0.879425048828125,0.76953125,0.9918658544146826,0.046999007936507936,0.820156847567799,0.9218417108998564,0.90625,0.859375
Separation,hierarchy_flatten,0.4,0.8232421875,0.71923828125,0.9751402839781746,0.0767609126984127,0.6394001175014663,0.8526878106249899,0.671875,0.65625
Separation,hierarchy_flatten,0.6,0.7680206298828125,0.636474609375,0.9341634114583334,0.1409970238095238,0.4649232145596585,0.7815182427190469,0.375,0.265625
Separation,hierarchy_flatten,0.8,0.6798553466796875,0.5740234375,0.8158210875496031,0.25024801587301587,0.28416648449332577,0.7045552410043592,0.0625,0.03125
Separation,hierarchy_flatten,1.0,0.5335540771484375,0.421826171875,0.3489777095734127,0.6365327380952381,0.10432333206112482,0.6240324313823493,0.0,0.0
